iter	Logloss
0	0.6805278124
1	0.6701833419
2	0.6606670165
3	0.6510847237
4	0.642493088
5	0.6348448845
6	0.6277964209
7	0.6221528443
8	0.614913473
9	0.6074440473
10	0.6008202821
11	0.5948509501
12	0.588512589
13	0.5824500847
14	0.5788897949
15	0.5749133545
16	0.5706185474
17	0.5684726368
18	0.566046635
19	0.5632487039
20	0.5612611834
21	0.5585612281
22	0.5557024031
23	0.5544349413
24	0.5510598069
25	0.5478822234
26	0.5463516176
27	0.5451542452
28	0.5427552117
29	0.5403661201
30	0.5389149086
31	0.5368007266
32	0.5356046607
33	0.5344952441
34	0.5328279056
35	0.5316239723
36	0.5302400403
37	0.527646872
38	0.5240463935
39	0.5229371486
40	0.5217003437
41	0.5211745962
42	0.5190195033
43	0.5182169798
44	0.5167447761
45	0.5148611432
46	0.5124947852
47	0.5111728033
48	0.5098259516
49	0.5077440285
50	0.5060185462
51	0.5030157419
52	0.5023334432
53	0.5008907265
54	0.4995584123
55	0.4983171216
56	0.4975826242
57	0.4971311094
58	0.4961910747
59	0.4952866126
60	0.4946755816
61	0.4932386275
62	0.4922488463
63	0.4911867222
64	0.4896312107
65	0.4873350255
66	0.4865583403
67	0.4860096729
68	0.4849663856
69	0.48432457
70	0.4835258996
71	0.4825788835
72	0.4819517914
73	0.4810735507
74	0.4803164212
75	0.4794141098
76	0.4786451918
77	0.4769810553
78	0.4761520658
79	0.4757591866
80	0.4753164706
81	0.4749034486
82	0.4743844504
83	0.4733856121
84	0.4721406662
85	0.4711804819
86	0.4707031261
87	0.4696169594
88	0.4689915746
89	0.4681682646
90	0.4672974455
91	0.4670556078
92	0.4665467571
93	0.466030253
94	0.4643494532
95	0.4631789901
96	0.4627655883
97	0.4617985685
98	0.4612134355
99	0.460165585
100	0.4584227629
101	0.4570965636
102	0.4562729314
103	0.4541093461
104	0.4529176022
105	0.4522491034
106	0.4515879682
107	0.4509551412
108	0.4493735661
109	0.447350152
110	0.4465634692
111	0.4455521187
112	0.4444032373
113	0.444016054
114	0.4428945016
115	0.4414806934
116	0.4403362479
117	0.4398099864
118	0.4388964229
119	0.4380314443
120	0.4366222976
121	0.4351697056
122	0.4344993999
123	0.4334296234
124	0.4328828889
125	0.4321226153
126	0.4313703827
127	0.4305961998
128	0.4298875505
129	0.4295885315
130	0.4292856999
131	0.4277152492
132	0.4269540201
133	0.4261185088
134	0.425529024
135	0.4242864823
136	0.4231567999
137	0.422618892
138	0.4219320543
139	0.4207816609
140	0.420170718
141	0.4196329251
142	0.4191897607
143	0.4183571121
144	0.4175583622
145	0.4168496795
146	0.4160108812
147	0.4152177332
148	0.4143185118
149	0.413464685
150	0.4127418771
151	0.4101220575
152	0.4096706806
153	0.4087752541
154	0.4078687276
155	0.4063479716
156	0.4057640333
157	0.4046949509
158	0.4040982126
159	0.4036205072
160	0.4029737244
161	0.4020471888
162	0.4016456995
163	0.4008263901
164	0.3993400445
165	0.398532956
166	0.3957228726
167	0.3950265951
168	0.394026853
169	0.3936955213
170	0.3927825995
171	0.3921012964
172	0.3900020398
173	0.3896194682
174	0.3892134206
175	0.3887998961
176	0.388092199
177	0.3876811733
178	0.387156253
179	0.386297289
180	0.3854622297
181	0.3850500849
182	0.3846459485
183	0.3824939575
184	0.3818648246
185	0.3812922793
186	0.3808194388
187	0.3795091484
188	0.3787890218
189	0.3773651175
190	0.3768668266
191	0.376307232
192	0.3745482346
193	0.3740246863
194	0.3734011849
195	0.37305558
196	0.3726768754
197	0.3722554376
198	0.3717231125
199	0.3713142987
200	0.3707683556
201	0.3702918375
202	0.3680726046
203	0.3661408276
204	0.3657450054
205	0.365462132
206	0.3634118239
207	0.3614498505
208	0.3611514558
209	0.3604224836
210	0.3586474791
211	0.3583308491
212	0.3577652745
213	0.3568281913
214	0.3549820523
215	0.3533019287
216	0.3530097343
217	0.3523804427
218	0.3519967442
219	0.3514551513
220	0.3511554408
221	0.3509195004
222	0.3492834679
223	0.348659898
224	0.3484049779
225	0.3469337028
226	0.346366259
227	0.3456238828
228	0.3453980555
229	0.3444853571
230	0.3434155276
231	0.343229886
232	0.3423846251
233	0.3422860436
234	0.3419888869
235	0.3412790409
236	0.3406924257
237	0.3399401983
238	0.3382696577
239	0.3379395873
240	0.3375710801
241	0.337261476
242	0.3367857466
243	0.3365527634
244	0.3354014081
245	0.3349578532
246	0.334661943
247	0.334132225
248	0.3329432603
249	0.3324889127
250	0.3316877939
251	0.3307479756
252	0.3303549767
253	0.3300976884
254	0.3296305995
255	0.3293733407
256	0.3289265948
257	0.3287845812
258	0.3285521443
259	0.3284314799
260	0.3255376393
261	0.3253285375
262	0.3240356855
263	0.3236462705
264	0.3233449676
265	0.3230792519
266	0.3227544721
267	0.3224416966
268	0.3220256247
269	0.3218595591
270	0.3213318269
271	0.3211076375
272	0.3206049198
273	0.3197426171
274	0.3192091602
275	0.3185475663
276	0.318296238
277	0.3164272319
278	0.3161944021
279	0.3149882581
280	0.3138928198
281	0.3131411411
282	0.3129056048
283	0.3125434366
284	0.3122611185
285	0.3117473532
286	0.3113510756
287	0.3109895118
288	0.309904835
289	0.309394175
290	0.3084479718
291	0.3078542961
292	0.3077513491
293	0.3074665758
294	0.3072830275
295	0.3067853182
296	0.3066957291
297	0.3064502317
298	0.3050539545
299	0.3042985454
300	0.3039490899
301	0.3038663474
302	0.3033685216
303	0.3028407866
304	0.3021439437
305	0.301922072
306	0.3015578774
307	0.3013876999
308	0.3007337485
309	0.3004122649
310	0.300303939
311	0.2998527029
312	0.2997151318
313	0.2995059269
314	0.2993041651
315	0.2990391509
316	0.2976193715
317	0.297302839
318	0.2964779977
319	0.2955588828
320	0.295269077
321	0.295011747
322	0.2945774638
323	0.2935993518
324	0.2931483522
325	0.292977257
326	0.2926870466
327	0.2921845672
328	0.2919290435
329	0.2916835357
330	0.2902101753
331	0.2900236066
332	0.2898808097
333	0.2895400353
334	0.2892047118
335	0.2887439896
336	0.2882106453
337	0.2878491735
338	0.2870526346
339	0.2869278092
340	0.2867674879
341	0.2855979098
342	0.284863945
343	0.2843973411
344	0.2833450187
345	0.2823490609
346	0.2816472001
347	0.2814802278
348	0.2813873006
349	0.2804757615
350	0.2802654853
351	0.2801138817
352	0.2792883311
353	0.2789429914
354	0.2786086236
355	0.2784525663
356	0.2772040251
357	0.2769187657
358	0.2766650381
359	0.2764140652
360	0.2762533982
361	0.2760532118
362	0.2757151432
363	0.2748157449
364	0.2736019082
365	0.2734575197
366	0.2733261335
367	0.2730758345
368	0.2729136766
369	0.272831252
370	0.2710699322
371	0.270907094
372	0.2707594668
373	0.270481799
374	0.270039536
375	0.2697321096
376	0.2690680202
377	0.2688424242
378	0.2671882315
379	0.2668767462
380	0.266056164
381	0.2656443918
382	0.2649335091
383	0.2648416464
384	0.264365025
385	0.2640320099
