iter	Logloss
386	0.2631172472
387	0.262865593
388	0.2619747269
389	0.2612392337
390	0.2608287373
391	0.2598457885
392	0.2595005527
393	0.2592080047
394	0.2589760751
395	0.2588791145
396	0.2585758165
397	0.2583480195
398	0.2575639175
399	0.2569040418
400	0.2567256891
401	0.256241218
402	0.255884196
403	0.2551517555
404	0.2550219548
405	0.2546339917
406	0.254510509
407	0.2542453674
408	0.2538500618
409	0.2534805876
410	0.2533838315
411	0.2533131005
412	0.2531534493
413	0.2530869708
414	0.2527367813
415	0.2522800175
416	0.2521844004
417	0.2515212255
418	0.251301029
419	0.2510972769
420	0.2509451868
421	0.2508685173
422	0.2506172979
423	0.2504503898
424	0.2502075762
425	0.2498702164
426	0.2497203067
427	0.2493994614
428	0.2487797801
429	0.2480063592
430	0.2478546496
431	0.2477757542
432	0.2475245444
433	0.2466374471
434	0.2463702345
435	0.2459189942
436	0.2444051869
437	0.2442438911
438	0.2439669077
439	0.2438358098
440	0.2431178739
441	0.2430087673
442	0.2429504799
443	0.2427486505
444	0.2425257626
445	0.242204777
446	0.2418687389
447	0.2413977318
448	0.2405804986
449	0.2400118457
450	0.2399679648
451	0.2397632407
452	0.2391395187
453	0.2388541646
454	0.2387864669
455	0.2382478243
456	0.2380762603
457	0.2380073103
458	0.2379076726
459	0.2374670444
460	0.2374305212
461	0.2372073691
462	0.2368135754
463	0.2350075296
464	0.23477886
465	0.2346475552
466	0.2345317986
467	0.2339143943
468	0.2337093579
469	0.2336236405
470	0.2330130595
471	0.2327804468
472	0.2323542404
473	0.2311083381
474	0.2304865653
475	0.2302069434
476	0.229567016
477	0.2294216294
478	0.2289571912
479	0.2288382316
480	0.2286852743
481	0.2286149994
482	0.2282938459
483	0.2281462056
484	0.2279795021
485	0.2274840903
486	0.2274036324
487	0.2273092451
488	0.2269205665
489	0.2258319306
490	0.2251908485
491	0.2234267567
492	0.2232344677
493	0.2225280728
494	0.2220240077
495	0.2211464558
496	0.2205045306
497	0.2202988695
498	0.2201486266
499	0.220101202
